,5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,day_of_week,datetime
0,04/01/2016 0:00,12,1,100,0,04/01/2016 0:00
1,04/01/2016 0:05,13,1,100,0,04/01/2016 0:05
2,04/01/2016 0:10,11,1,100,0,04/01/2016 0:10
3,04/01/2016 0:15,13,1,100,0,04/01/2016 0:15
4,04/01/2016 0:20,10,1,100,0,04/01/2016 0:20
5,04/01/2016 0:25,10,1,100,0,04/01/2016 0:25
6,04/01/2016 0:30,13,1,100,0,04/01/2016 0:30
7,04/01/2016 0:35,11,1,100,0,04/01/2016 0:35
8,04/01/2016 0:40,10,1,100,0,04/01/2016 0:40
9,04/01/2016 0:45,6,1,100,0,04/01/2016 0:45
10,04/01/2016 0:50,7,1,100,0,04/01/2016 0:50
11,04/01/2016 0:55,8,1,100,0,04/01/2016 0:55
12,04/01/2016 1:00,8,1,100,0,04/01/2016 1:00
13,04/01/2016 1:05,12,1,100,0,04/01/2016 1:05
14,04/01/2016 1:10,7,1,100,0,04/01/2016 1:10
15,04/01/2016 1:15,5,1,100,0,04/01/2016 1:15
16,04/01/2016 1:20,2,1,100,0,04/01/2016 1:20
17,04/01/2016 1:25,6,1,100,0,04/01/2016 1:25
18,04/01/2016 1:30,4,1,100,0,04/01/2016 1:30
19,04/01/2016 1:35,3,1,100,0,04/01/2016 1:35
20,04/01/2016 1:40,5,1,100,0,04/01/2016 1:40
21,04/01/2016 1:45,6,1,100,0,04/01/2016 1:45
22,04/01/2016 1:50,5,1,100,0,04/01/2016 1:50
23,04/01/2016 1:55,6,1,100,0,04/01/2016 1:55
24,04/01/2016 2:00,7,1,100,0,04/01/2016 2:00
25,04/01/2016 2:05,7,1,100,0,04/01/2016 2:05
26,04/01/2016 2:10,7,1,100,0,04/01/2016 2:10
27,04/01/2016 2:15,3,1,100,0,04/01/2016 2:15
28,04/01/2016 2:20,8,1,100,0,04/01/2016 2:20
29,04/01/2016 2:25,5,1,100,0,04/01/2016 2:25
30,04/01/2016 2:30,6,1,100,0,04/01/2016 2:30
31,04/01/2016 2:35,4,1,100,0,04/01/2016 2:35
32,04/01/2016 2:40,5,1,100,0,04/01/2016 2:40
33,04/01/2016 2:45,7,1,100,0,04/01/2016 2:45
34,04/01/2016 2:50,2,1,100,0,04/01/2016 2:50
35,04/01/2016 2:55,9,1,100,0,04/01/2016 2:55
36,04/01/2016 3:00,10,1,100,0,04/01/2016 3:00
37,04/01/2016 3:05,7,1,100,0,04/01/2016 3:05
38,04/01/2016 3:10,4,1,100,0,04/01/2016 3:10
39,04/01/2016 3:15,6,1,100,0,04/01/2016 3:15
40,04/01/2016 3:20,6,1,100,0,04/01/2016 3:20
41,04/01/2016 3:25,4,1,100,0,04/01/2016 3:25
42,04/01/2016 3:30,6,1,100,0,04/01/2016 3:30
43,04/01/2016 3:35,15,1,100,0,04/01/2016 3:35
44,04/01/2016 3:40,8,1,100,0,04/01/2016 3:40
