datetime,Lane 1 Flow (Veh/5 Minutes)
2016-01-04 00:00:00,12
2016-01-04 00:05:00,13
2016-01-04 00:10:00,11
2016-01-04 00:15:00,13
2016-01-04 00:20:00,10
2016-01-04 00:25:00,10
2016-01-04 00:30:00,13
2016-01-04 00:35:00,11
2016-01-04 00:40:00,10
2016-01-04 00:45:00,6
2016-01-04 00:50:00,7
2016-01-04 00:55:00,8
2016-01-04 01:00:00,8
2016-01-04 01:05:00,12
2016-01-04 01:10:00,7
2016-01-04 01:15:00,5
2016-01-04 01:20:00,2
2016-01-04 01:25:00,6
2016-01-04 01:30:00,4
2016-01-04 01:35:00,3
2016-01-04 01:40:00,5
2016-01-04 01:45:00,6
2016-01-04 01:50:00,5
2016-01-04 01:55:00,6
2016-01-04 02:00:00,7
2016-01-04 02:05:00,7
2016-01-04 02:10:00,7
2016-01-04 02:15:00,3
2016-01-04 02:20:00,8
2016-01-04 02:25:00,5
2016-01-04 02:30:00,6
2016-01-04 02:35:00,4
2016-01-04 02:40:00,5
2016-01-04 02:45:00,7
2016-01-04 02:50:00,2
2016-01-04 02:55:00,9
2016-01-04 03:00:00,10
2016-01-04 03:05:00,7
2016-01-04 03:10:00,4
2016-01-04 03:15:00,6
2016-01-04 03:20:00,6
2016-01-04 03:25:00,4
2016-01-04 03:30:00,6
2016-01-04 03:35:00,15
2016-01-04 03:40:00,8
2016-01-04 03:45:00,9
2016-01-04 03:50:00,17
2016-01-04 03:55:00,16
2016-01-04 04:00:00,11
2016-01-04 04:05:00,15
2016-01-04 04:10:00,19
2016-01-04 04:15:00,15
2016-01-04 04:20:00,20
2016-01-04 04:25:00,26
2016-01-04 04:30:00,24
2016-01-04 04:35:00,27
2016-01-04 04:40:00,40
2016-01-04 04:45:00,50
2016-01-04 04:50:00,52
2016-01-04 04:55:00,51
2016-01-04 05:00:00,47
2016-01-04 05:05:00,51
2016-01-04 05:10:00,67
2016-01-04 05:15:00,72
2016-01-04 05:20:00,63
2016-01-04 05:25:00,68
2016-01-04 05:30:00,93
2016-01-04 05:35:00,93
2016-01-04 05:40:00,98
2016-01-04 05:45:00,95
2016-01-04 05:50:00,92
2016-01-04 05:55:00,98
2016-01-04 06:00:00,114
2016-01-04 06:05:00,98
2016-01-04 06:10:00,129
2016-01-04 06:15:00,125
2016-01-04 06:20:00,141
2016-01-04 06:25:00,123
2016-01-04 06:30:00,146
2016-01-04 06:35:00,139
2016-01-04 06:40:00,146
2016-01-04 06:45:00,146
2016-01-04 06:50:00,134
2016-01-04 06:55:00,134
2016-01-04 07:00:00,147
2016-01-04 07:05:00,138
2016-01-04 07:10:00,144
2016-01-04 07:15:00,131
2016-01-04 07:20:00,118
2016-01-04 07:25:00,104
2016-01-04 07:30:00,110
2016-01-04 07:35:00,98
2016-01-04 07:40:00,83
2016-01-04 07:45:00,79
2016-01-04 07:50:00,77
2016-01-04 07:55:00,77
2016-01-04 08:00:00,87
2016-01-04 08:05:00,91
2016-01-04 08:10:00,92
2016-01-04 08:15:00,79
2016-01-04 08:20:00,86
2016-01-04 08:25:00,93
2016-01-04 08:30:00,94
2016-01-04 08:35:00,101
2016-01-04 08:40:00,90
2016-01-04 08:45:00,83
2016-01-04 08:50:00,80
2016-01-04 08:55:00,85
2016-01-04 09:00:00,86
2016-01-04 09:05:00,79
2016-01-04 09:10:00,87
2016-01-04 09:15:00,104
2016-01-04 09:20:00,94
2016-01-04 09:25:00,136
2016-01-04 09:30:00,126
2016-01-04 09:35:00,123
2016-01-04 09:40:00,112
2016-01-04 09:45:00,104
2016-01-04 09:50:00,94
2016-01-04 09:55:00,118
2016-01-04 10:00:00,87
2016-01-04 10:05:00,101
2016-01-04 10:10:00,104
2016-01-04 10:15:00,97
2016-01-04 10:20:00,103
2016-01-04 10:25:00,87
2016-01-04 10:30:00,102
2016-01-04 10:35:00,99
2016-01-04 10:40:00,94
2016-01-04 10:45:00,86
2016-01-04 10:50:00,96
2016-01-04 10:55:00,88
2016-01-04 11:00:00,83
2016-01-04 11:05:00,87
2016-01-04 11:10:00,94
2016-01-04 11:15:00,94
2016-01-04 11:20:00,86
2016-01-04 11:25:00,112
2016-01-04 11:30:00,102
2016-01-04 11:35:00,70
2016-01-04 11:40:00,97
2016-01-04 11:45:00,80
2016-01-04 11:50:00,80
2016-01-04 11:55:00,89
2016-01-04 12:00:00,93
2016-01-04 12:05:00,81
2016-01-04 12:10:00,88
2016-01-04 12:15:00,81
2016-01-04 12:20:00,92
2016-01-04 12:25:00,87
2016-01-04 12:30:00,83
2016-01-04 12:35:00,98
2016-01-04 12:40:00,98
2016-01-04 12:45:00,89
2016-01-04 12:50:00,93
2016-01-04 12:55:00,85
2016-01-04 13:00:00,99
2016-01-04 13:05:00,67
2016-01-04 13:10:00,89
2016-01-04 13:15:00,63
2016-01-04 13:20:00,88
2016-01-04 13:25:00,89
2016-01-04 13:30:00,80
2016-01-04 13:35:00,79
2016-01-04 13:40:00,98
2016-01-04 13:45:00,102
2016-01-04 13:50:00,83
2016-01-04 13:55:00,88
2016-01-04 14:00:00,102
2016-01-04 14:05:00,93
2016-01-04 14:10:00,78
2016-01-04 14:15:00,87
2016-01-04 14:20:00,93
2016-01-04 14:25:00,80
2016-01-04 14:30:00,67
2016-01-04 14:35:00,86
2016-01-04 14:40:00,107
2016-01-04 14:45:00,100
2016-01-04 14:50:00,76
2016-01-04 14:55:00,104
2016-01-04 15:00:00,95
2016-01-04 15:05:00,82
2016-01-04 15:10:00,88
2016-01-04 15:15:00,90
2016-01-04 15:20:00,100
2016-01-04 15:25:00,92
2016-01-04 15:30:00,99
2016-01-04 15:35:00,102
2016-01-04 15:40:00,98
2016-01-04 15:45:00,86
2016-01-04 15:50:00,99
2016-01-04 15:55:00,85
2016-01-04 16:00:00,102
2016-01-04 16:05:00,72
2016-01-04 16:10:00,105
2016-01-04 16:15:00,97
2016-01-04 16:20:00,91
2016-01-04 16:25:00,80
2016-01-04 16:30:00,83
2016-01-04 16:35:00,77
2016-01-04 16:40:00,100
2016-01-04 16:45:00,82
2016-01-04 16:50:00,93
2016-01-04 16:55:00,78
2016-01-04 17:00:00,87
2016-01-04 17:05:00,85
2016-01-04 17:10:00,79
2016-01-04 17:15:00,105
2016-01-04 17:20:00,103
2016-01-04 17:25:00,90
2016-01-04 17:30:00,82
2016-01-04 17:35:00,100
2016-01-04 17:40:00,92
2016-01-04 17:45:00,80
2016-01-04 17:50:00,83
2016-01-04 17:55:00,77
2016-01-04 18:00:00,73
2016-01-04 18:05:00,67
2016-01-04 18:10:00,76
2016-01-04 18:15:00,76
2016-01-04 18:20:00,68
2016-01-04 18:25:00,72
2016-01-04 18:30:00,72
2016-01-04 18:35:00,60
2016-01-04 18:40:00,69
2016-01-04 18:45:00,75
2016-01-04 18:50:00,60
2016-01-04 18:55:00,61
2016-01-04 19:00:00,69
2016-01-04 19:05:00,58
2016-01-04 19:10:00,63
2016-01-04 19:15:00,71
2016-01-04 19:20:00,64
2016-01-04 19:25:00,58
2016-01-04 19:30:00,53
2016-01-04 19:35:00,59
2016-01-04 19:40:00,69
2016-01-04 19:45:00,54
2016-01-04 19:50:00,60
2016-01-04 19:55:00,51
2016-01-04 20:00:00,40
2016-01-04 20:05:00,58
2016-01-04 20:10:00,48
2016-01-04 20:15:00,41
2016-01-04 20:20:00,50
2016-01-04 20:25:00,47
2016-01-04 20:30:00,43
2016-01-04 20:35:00,42
2016-01-04 20:40:00,42
2016-01-04 20:45:00,54
2016-01-04 20:50:00,38
2016-01-04 20:55:00,42
2016-01-04 21:00:00,41
2016-01-04 21:05:00,49
2016-01-04 21:10:00,46
2016-01-04 21:15:00,34
2016-01-04 21:20:00,38
2016-01-04 21:25:00,41
2016-01-04 21:30:00,41
