,5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,day_of_week,datetime
0,4/1/2016 0:00,12,1,100,0,4/1/2016 0:00
1,4/1/2016 0:05,13,1,100,0,4/1/2016 0:05
2,4/1/2016 0:10,11,1,100,0,4/1/2016 0:10
3,4/1/2016 0:15,13,1,100,0,4/1/2016 0:15
4,4/1/2016 0:20,10,1,100,0,4/1/2016 0:20
5,4/1/2016 0:25,10,1,100,0,4/1/2016 0:25
6,4/1/2016 0:30,13,1,100,0,4/1/2016 0:30
7,4/1/2016 0:35,11,1,100,0,4/1/2016 0:35
8,4/1/2016 0:40,10,1,100,0,4/1/2016 0:40
9,4/1/2016 0:45,6,1,100,0,4/1/2016 0:45
10,4/1/2016 0:50,7,1,100,0,4/1/2016 0:50
11,4/1/2016 0:55,8,1,100,0,4/1/2016 0:55
12,4/1/2016 1:00,8,1,100,0,4/1/2016 1:00
13,4/1/2016 1:05,12,1,100,0,4/1/2016 1:05
14,4/1/2016 1:10,7,1,100,0,4/1/2016 1:10
15,4/1/2016 1:15,5,1,100,0,4/1/2016 1:15
16,4/1/2016 1:20,2,1,100,0,4/1/2016 1:20
17,4/1/2016 1:25,6,1,100,0,4/1/2016 1:25
18,4/1/2016 1:30,4,1,100,0,4/1/2016 1:30
19,4/1/2016 1:35,3,1,100,0,4/1/2016 1:35
20,4/1/2016 1:40,5,1,100,0,4/1/2016 1:40
21,4/1/2016 1:45,6,1,100,0,4/1/2016 1:45
22,4/1/2016 1:50,5,1,100,0,4/1/2016 1:50
23,4/1/2016 1:55,6,1,100,0,4/1/2016 1:55
24,4/1/2016 2:00,7,1,100,0,4/1/2016 2:00
25,4/1/2016 2:05,7,1,100,0,4/1/2016 2:05
26,4/1/2016 2:10,7,1,100,0,4/1/2016 2:10
27,4/1/2016 2:15,3,1,100,0,4/1/2016 2:15
28,4/1/2016 2:20,8,1,100,0,4/1/2016 2:20
29,4/1/2016 2:25,5,1,100,0,4/1/2016 2:25
30,4/1/2016 2:30,6,1,100,0,4/1/2016 2:30
31,4/1/2016 2:35,4,1,100,0,4/1/2016 2:35
32,4/1/2016 2:40,5,1,100,0,4/1/2016 2:40
33,4/1/2016 2:45,7,1,100,0,4/1/2016 2:45
34,4/1/2016 2:50,2,1,100,0,4/1/2016 2:50
35,4/1/2016 2:55,9,1,100,0,4/1/2016 2:55
36,4/1/2016 3:00,10,1,100,0,4/1/2016 3:00
37,4/1/2016 3:05,7,1,100,0,4/1/2016 3:05
38,4/1/2016 3:10,4,1,100,0,4/1/2016 3:10
39,4/1/2016 3:15,6,1,100,0,4/1/2016 3:15
40,4/1/2016 3:20,6,1,100,0,4/1/2016 3:20
41,4/1/2016 3:25,4,1,100,0,4/1/2016 3:25
42,4/1/2016 3:30,6,1,100,0,4/1/2016 3:30
43,4/1/2016 3:35,15,1,100,0,4/1/2016 3:35
44,4/1/2016 3:40,8,1,100,0,4/1/2016 3:40
45,4/1/2016 3:45,9,1,100,0,4/1/2016 3:45
46,4/1/2016 3:50,17,1,100,0,4/1/2016 3:50
47,4/1/2016 3:55,16,1,100,0,4/1/2016 3:55
48,4/1/2016 4:00,11,1,100,0,4/1/2016 4:00
49,4/1/2016 4:05,15,1,100,0,4/1/2016 4:05
50,4/1/2016 4:10,19,1,100,0,4/1/2016 4:10
51,4/1/2016 4:15,15,1,100,0,4/1/2016 4:15
52,4/1/2016 4:20,20,1,100,0,4/1/2016 4:20
53,4/1/2016 4:25,26,1,100,0,4/1/2016 4:25
54,4/1/2016 4:30,24,1,100,0,4/1/2016 4:30
55,4/1/2016 4:35,27,1,100,0,4/1/2016 4:35
56,4/1/2016 4:40,40,1,100,0,4/1/2016 4:40
57,4/1/2016 4:45,50,1,100,0,4/1/2016 4:45
58,4/1/2016 4:50,52,1,100,0,4/1/2016 4:50
59,4/1/2016 4:55,51,1,100,0,4/1/2016 4:55
60,4/1/2016 5:00,47,1,100,0,4/1/2016 5:00
61,4/1/2016 5:05,51,1,100,0,4/1/2016 5:05
62,4/1/2016 5:10,67,1,100,0,4/1/2016 5:10
63,4/1/2016 5:15,72,1,100,0,4/1/2016 5:15
64,4/1/2016 5:20,63,1,100,0,4/1/2016 5:20
65,4/1/2016 5:25,68,1,100,0,4/1/2016 5:25
66,4/1/2016 5:30,93,1,100,0,4/1/2016 5:30
67,4/1/2016 5:35,93,1,100,0,4/1/2016 5:35
68,4/1/2016 5:40,98,1,100,0,4/1/2016 5:40
69,4/1/2016 5:45,95,1,100,0,4/1/2016 5:45
70,4/1/2016 5:50,92,1,100,0,4/1/2016 5:50
71,4/1/2016 5:55,98,1,100,0,4/1/2016 5:55
72,4/1/2016 6:00,114,1,100,0,4/1/2016 6:00
73,4/1/2016 6:05,98,1,100,0,4/1/2016 6:05
74,4/1/2016 6:10,129,1,100,0,4/1/2016 6:10
75,4/1/2016 6:15,125,1,100,0,4/1/2016 6:15
76,4/1/2016 6:20,141,1,100,0,4/1/2016 6:20
77,4/1/2016 6:25,123,1,100,0,4/1/2016 6:25
78,4/1/2016 6:30,146,1,100,0,4/1/2016 6:30
79,4/1/2016 6:35,139,1,100,0,4/1/2016 6:35
80,4/1/2016 6:40,146,1,100,0,4/1/2016 6:40
81,4/1/2016 6:45,146,1,100,0,4/1/2016 6:45
82,4/1/2016 6:50,134,1,100,0,4/1/2016 6:50
83,4/1/2016 6:55,134,1,100,0,4/1/2016 6:55
84,4/1/2016 7:00,147,1,100,0,4/1/2016 7:00
85,4/1/2016 7:05,138,1,100,0,4/1/2016 7:05
86,4/1/2016 7:10,144,1,100,0,4/1/2016 7:10
87,4/1/2016 7:15,131,1,100,0,4/1/2016 7:15
88,4/1/2016 7:20,118,1,100,0,4/1/2016 7:20
89,4/1/2016 7:25,104,1,100,0,4/1/2016 7:25
90,4/1/2016 7:30,110,1,100,0,4/1/2016 7:30
91,4/1/2016 7:35,98,1,100,0,4/1/2016 7:35
92,4/1/2016 7:40,83,1,100,0,4/1/2016 7:40
93,4/1/2016 7:45,79,1,100,0,4/1/2016 7:45
94,4/1/2016 7:50,77,1,100,0,4/1/2016 7:50
95,4/1/2016 7:55,77,1,100,0,4/1/2016 7:55
96,4/1/2016 8:00,87,1,100,0,4/1/2016 8:00
97,4/1/2016 8:05,91,1,100,0,4/1/2016 8:05
98,4/1/2016 8:10,92,1,100,0,4/1/2016 8:10
